timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699722940817,81,Categories-0,308,Permanent Redirect,Thread Group 1-27,text,true,,349,125,30,30,http://evaly.com.bd/categories/,81,0,0
1699722940898,9245,Categories-1,200,OK,Thread Group 1-27,text,true,,660006,124,30,30,https://evaly.com.bd/categories,90,0,0
1699722938706,11537,Categories,200,OK,Thread Group 1-29,text,true,,660363,249,30,30,https://evaly.com.bd/categories,375,0,0
1699722938706,375,Categories-0,308,Permanent Redirect,Thread Group 1-29,text,true,,349,125,30,30,http://evaly.com.bd/categories/,375,0,0
1699722939082,11161,Categories-1,200,OK,Thread Group 1-29,text,true,,660014,124,30,30,https://evaly.com.bd/categories,87,0,0
1699722939254,11042,Categories,200,OK,Thread Group 1-18,text,true,,660363,249,30,30,https://evaly.com.bd/categories,74,0,0
1699722939254,74,Categories-0,308,Permanent Redirect,Thread Group 1-18,text,true,,349,125,30,30,http://evaly.com.bd/categories/,74,0,0
1699722939328,10968,Categories-1,200,OK,Thread Group 1-18,text,true,,660014,124,30,30,https://evaly.com.bd/categories,198,0,0
1699722949701,683,Product view,200,OK,Thread Group 1-2,text,true,,80778,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,80,0,0
1699722949701,80,Product view-0,308,Permanent Redirect,Thread Group 1-2,text,true,,431,207,30,30,http://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226/,80,0,0
1699722949782,602,Product view-1,200,OK,Thread Group 1-2,text,true,,80347,206,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,122,0,0
1699722937035,13592,Categories,200,OK,Thread Group 1-4,text,true,,660361,249,30,30,https://evaly.com.bd/categories,75,0,0
1699722937035,75,Categories-0,308,Permanent Redirect,Thread Group 1-4,text,true,,349,125,30,30,http://evaly.com.bd/categories/,75,0,0
1699722937111,13516,Categories-1,200,OK,Thread Group 1-4,text,true,,660012,124,30,30,https://evaly.com.bd/categories,164,0,0
1699722939362,11269,Categories,200,OK,Thread Group 1-14,text,true,,660363,249,30,30,https://evaly.com.bd/categories,74,0,0
1699722939362,74,Categories-0,308,Permanent Redirect,Thread Group 1-14,text,true,,349,125,30,30,http://evaly.com.bd/categories/,74,0,0
1699722939436,11195,Categories-1,200,OK,Thread Group 1-14,text,true,,660014,124,30,30,https://evaly.com.bd/categories,90,0,0
1699722949755,928,Product view,200,OK,Thread Group 1-10,text,true,,80777,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,98,0,0
1699722949755,98,Product view-0,308,Permanent Redirect,Thread Group 1-10,text,true,,431,207,30,30,http://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226/,98,0,0
1699722949853,830,Product view-1,200,OK,Thread Group 1-10,text,true,,80346,206,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,109,0,0
1699722949982,704,Product view,200,OK,Thread Group 1-6,text,true,,80778,413,30,30,https://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226,79,0,0
1699722949982,79,Product view-0,308,Permanent Redirect,Thread Group 1-6,text,true,,431,207,30,30,http://evaly.com.bd/products/nobin-android-borderless-fhd-tv-with-voice-control-32-inch-2gb-ram-16gb-rom-9406226/,79,0,0
